domain,target,reason,confidence
994gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
996gmail.com,Google,Typosquatting - numeric prefix added to 'gmail' (Google service),High
a.k.3.gmail.ksd9.jm79.6.gmail.meleni.xyz,Google,Subdomain abuse - contains 'gmail' multiple times in subdomain structure,High
a.z.1.gmail.i.0.83.y.9.aiot.ptcu.dev,Google,Subdomain abuse - contains 'gmail' in subdomain structure,High
aatgmail.com,Google,Typosquatting - character insertion before 'gmail' (Google service),High
abc.zoomingabout.com,Zoom,Typosquatting - contains 'zoom' with additional characters,Medium
ac-shopify.top,Shopify,Combo-squatting with suspicious TLD (.top),High
account.meta.com,Meta,Legitimate Meta domain - subdomain of meta.com,Low
accountstripe.com,Stripe,Combo-squatting - 'account' prefix with 'stripe',High
accsstripe.com,Stripe,Combo-squatting - 'accs' (accounts) prefix with 'stripe',High
achergmail.ru,Google,Typosquatting - character insertion before 'gmail' with suspicious TLD (.ru),High
adminzoom.com,Zoom,Combo-squatting with 'admin' keyword targeting Zoom,High
adobe-masters.ru,Adobe,Combo-squatting with hyphen and suspicious .ru TLD,High
adobe.digiwav.store,Adobe,Subdomain impersonation of Adobe brand,High
adobeccepdm.com,Adobe,Typosquatting with added technical-sounding suffix,High
adobee.space,Adobe,Typosquatting with extra 'e' character,High
adobesignaturemoments.com,Adobe,Combo-squatting combining Adobe with 'signature' (Adobe Sign product),High
adsbygoogle.js,Google,Impersonation of Google Ads service as domain,High
adultfacebookinfo.info,Facebook,Combo-squatting with 'adult' prefix targeting Facebook,High
afriend.gmail.com.gmail.com.m.oazis.site,Google,Subdomain impersonation of Gmail with multiple repetitions,High
agagmail.com,Google,Typosquatting on Gmail with 'aga' prefix,Medium
agmail.com,Google,Typosquatting on Gmail (missing 'g'),High
agmail.store,Google,Typosquatting on Gmail with alternative TLD,High
airbnbexperts.net,Airbnb,Combo-squatting with 'experts' keyword,High
aiwritingmeta.com,Meta,Combo-squatting combining AI writing with Meta brand,High
ajgmail.com,Google,Typosquatting on Gmail with 'aj' prefix,Medium
akapple.com,Apple,Typosquatting on Apple with 'ak' prefix,Medium
akunzoom.com,Zoom,Combo-squatting with 'akun' (Indonesian for 'account'),High
albigmail.com,Google,Typosquatting on Gmail with 'albi' prefix,Medium
algmail.com,Google,Typosquatting on Gmail with 'al' prefix,Medium
allegmail.ru,Google,Typosquatting on Gmail with suspicious .ru TLD,High
amazon-aws-us.com,Amazon,Combo-squatting impersonating AWS service,High
amazon-aws.org,Amazon,Combo-squatting impersonating AWS with .org TLD,High
amazon-black-friday99.ru,Amazon,Combo-squatting with promotional keyword and suspicious .ru TLD,High
amazon-blackfriday.host,Amazon,Combo-squatting with Black Friday promotional keyword,High
amazon-center.shop,Amazon,Combo-squatting with 'center' keyword,High
amazon-travel.info,Amazon,Combo-squatting with 'travel' keyword,High
amazon.coms.hk,Amazon,Subdomain impersonation with typo (.coms),High
amazonbitcoin.net,Amazon,Combo-squatting combining Amazon with Bitcoin,High
amazondevicesupports.xyz,Amazon,Combo-squatting impersonating Amazon device support,High
amazong.online,Amazon,Typosquatting with extra 'g' character,High
amazonsellers.legal,Amazon,Combo-squatting targeting Amazon sellers,High
amazonses.com,Amazon,Impersonation of Amazon SES (Simple Email Service),High
amazonshop.fun,Amazon,Combo-squatting with 'shop' keyword,High
amazonshopbuy.com,Amazon,Combo-squatting with shopping keywords,High
amazonshopcash.com,Amazon,Combo-squatting with shopping and cash keywords,High
amazonshopsite.com,Amazon,Combo-squatting with shopping keywords,High
amazonshopsource.com,Amazon,Combo-squatting with shopping keywords,High
amazonshopzen.com,Amazon,Combo-squatting with shopping keywords,High
api.google.gmail.com.apotekberjalan.com.solaravenue.org,Google,Subdomain impersonation of Google API and Gmail,High
apple-account.app,Apple,Combo-squatting with 'account' keyword,High
apple-rs.ru,Apple,Combo-squatting with suspicious .ru TLD,High
apple-web.tk,Apple,Combo-squatting with suspicious .tk TLD (known for abuse),High
apple.aleeas.com,Apple,Subdomain impersonation of Apple,High
apple.dnsabr.com,Apple,Subdomain impersonation of Apple,High
apple.servemp3.com,Apple,Subdomain impersonation of Apple,High
appleaccount.app,Apple,Combo-squatting with 'account' keyword,High
appleblog.com,Apple,Combo-squatting with 'blog' keyword,Medium
applecraft.online,Apple,Combo-squatting with 'craft' keyword,Medium
appledev.online,Apple,Combo-squatting with 'dev' keyword targeting developers,High
appledocks.com,Apple,Combo-squatting with 'docks' keyword,Medium
appleeeeeee.club,Apple,Typosquatting with multiple extra 'e' characters,High
appleeeeeee.fyi,Apple,Typosquatting with multiple extra 'e' characters,High
applefix.ru,Apple,Combo-squatting with 'fix' keyword and suspicious .ru TLD,High
applegift.xyz,Apple,Combo-squatting with 'gift' keyword,High
appleid.apple.com,Apple,Legitimate Apple domain (Apple ID service),Low
applejftwn.club,Apple,Typosquatting with added characters,Medium
applejftwn.host,Apple,Typosquatting with added characters,Medium
applejftwn.website,Apple,Typosquatting with added characters,Medium
applemeomeo.store,Apple,Typosquatting with added characters,Medium
applemusic.web.id,Apple,Subdomain impersonation of Apple Music service,High
appleparcel.com,Apple,Combo-squatting with shipping/delivery keyword 'parcel',High
applept.com,Apple,Typosquatting - truncated brand name with 'pt' suffix,Medium
applerewards.live,Apple,"Combo-squatting with 'rewards' keyword, suspicious TLD",High
appleservices.online,Apple,"Combo-squatting with 'services' keyword, suspicious TLD",High
appleshps.website,Apple,Combo-squatting with 'shps' (shops/ships) keyword,High
applevipp.com,Apple,Combo-squatting with 'vip' keyword (doubled 'p'),High
applewatchoutlet.com,Apple,Combo-squatting targeting Apple Watch product line,High
armeta.loseyourip.com,Meta,Typosquatting - 'armeta' contains 'meta',Medium
axiemeta.fun,Meta,Combo-squatting with 'meta' suffix,Medium
ayudafacebook.com,Facebook,Combo-squatting with 'facebook' (Spanish 'ayuda' = help),High
azure.cloudns.asia,Microsoft,Brand impersonation of Microsoft Azure service,High
azureabyssazure.site,Microsoft,Repetitive use of 'azure' brand name,High
azureabyssazure.space,Microsoft,Repetitive use of 'azure' brand name,High
azureabyssazure.store,Microsoft,Repetitive use of 'azure' brand name,High
azurebfh.me,Microsoft,Azure brand with random suffix,High
azureexplained.com,Microsoft,Combo-squatting with 'azure' and 'explained',Medium
azuregiare.com,Microsoft,Azure brand with suffix,Medium
azurelend.com,Microsoft,Combo-squatting with 'azure' and 'lend',Medium
azures.live,Microsoft,Pluralized 'azure' brand name,High
azuretechtalk.net,Microsoft,Combo-squatting with 'azure' and tech keywords,Medium
bestdealsamazon.shop,Amazon,Combo-squatting with 'amazon' and 'deals' keyword,High
binance-crypto-currency-exchanges.trade,Binance,Combo-squatting with hyphens and crypto keywords,High
binance-crypto-currencyexchanges.trade,Binance,Combo-squatting with hyphens and crypto keywords,High
binance-cryptocurren-cyexchanges.trade,Binance,Combo-squatting with hyphens and crypto keywords,High
binance-cryptocurrencyexchanges.trade,Binance,Combo-squatting with hyphens and crypto keywords,High
binancebbt.net,Binance,Binance brand with suffix,High
binancecryptocurrencyexchanges.trade,Binance,Combo-squatting with crypto keywords,High
binanceglobalpoolspro.cloud,Binance,Combo-squatting with 'pools' and 'pro' keywords,High
binancepools.cloud,Binance,Combo-squatting with 'pools' keyword,High
bleubers.com,Uber,Typosquatting - 'bleubers' resembles 'uber' with added characters,Medium
block-coinhub.info,Coinbase,Combo-squatting with cryptocurrency keywords targeting Coinbase brand,Medium
blockchain-wallet.live,Coinbase,Combo-squatting targeting cryptocurrency wallet services like Coinbase,Medium
blockgemini.org,Binance,"Combo-squatting combining 'block' with crypto exchange reference, potentially targeting Binance users",Low
bo-shopify.com,Shopify,Combo-squatting with Shopify brand name,High
books.google.hu.smtp.gdofui.xyz,Google,Subdomain impersonation of Google Books service with suspicious SMTP reference,High
books.google.hu.smtp.xhouse.xyz,Google,Subdomain impersonation of Google Books service with suspicious SMTP reference,High
bounces.amazon.com,Amazon,Legitimate Amazon subdomain - NOT a typosquat,N/A
buyfacebooklikeslive.com,Facebook,Combo-squatting using Facebook brand name,High
buycheapfacebooklikes.net,Facebook,Combo-squatting using Facebook brand name,High
bybit-crypto-currency-exchanges.trade,Binance,"Competitor exchange name used in combo-squatting, may target Binance users",Low
bybit-cryptocurrencyexchanges.trade,Binance,"Competitor exchange name used in combo-squatting, may target Binance users",Low
bybit.gotdns.ch,Binance,Competitor exchange impersonation on suspicious domain,Low
bybitcryptocurrencyexchanges.trade,Binance,"Competitor exchange name used in combo-squatting, may target Binance users",Low
calendar-server.bounces.google.com,Google,Legitimate Google subdomain - NOT a typosquat,N/A
cc-shopify.com,Shopify,Combo-squatting with Shopify brand name,High
chaseabag.org,Chase,Typosquatting - 'chaseabag' contains Chase brand name,Medium
chasefreedomactivate.com,Chase,Combo-squatting using Chase Freedom card product name,High
chatgpt-ar.com,Google,"ChatGPT is a Google competitor product (OpenAI), but this appears to be combo-squatting targeting ChatGPT users, not our target list",N/A
citi.articles.vip,Citi,Exact match of brand name 'citi' with suspicious TLD (.vip) and subdomain structure,High
citibanquesi.space,Citi,Typosquatting/variant of 'Citibank' with suspicious TLD (.space),High
citippgad.ga,Citi,Typosquatting of 'Citi' with suspicious free TLD (.ga) known for abuse,High
citippgad.gq,Citi,Typosquatting of 'Citi' with suspicious free TLD (.gq) known for abuse,High
citippgad.ml,Citi,Typosquatting of 'Citi' with suspicious free TLD (.ml) known for abuse,High
citippgad.tk,Citi,Typosquatting of 'Citi' with suspicious free TLD (.tk) known for abuse,High
cirocco.apple.com,Apple,Subdomain on legitimate apple.com domain - likely legitimate Apple property,N/A
clnd49org.appleid.com,Apple,Subdomain on legitimate appleid.com domain - likely legitimate Apple property,N/A
cloud.apple.com,Apple,Subdomain on legitimate apple.com domain - legitimate Apple iCloud service,N/A
code-gmail.com,Google,Combo-squatting using 'gmail' (Google service) with hyphen and 'code' keyword,High
com.ya.ru.gmail.com.collegeofpublicspeaking.com,Google,Deceptive domain structure embedding 'gmail.com' to impersonate Google Gmail service,High
coinex.online,Binance,"Potential confusion with crypto exchanges but 'Coinex' is a different exchange, not direct Binance impersonation",N/A
cschwabllc.com,Chase,"Potential typosquat of 'schwab' (Charles Schwab), financial services brand - though not in primary target list, shows financial impersonation pattern",Low
ctvfacebook.site,Facebook,Combo-squatting with 'facebook' keyword and suspicious .site TLD,High
cvzzoom.com,Zoom,Typosquat of 'zoom' with character insertion ('cvz'),High
dailymicrosoft.com,Microsoft,Combo-squatting with 'microsoft' keyword,High
dashmeta.store,Meta,Combo-squatting with 'meta' keyword,High
dayzoomeet.biz.id,Zoom,Combo-squatting with 'zoom' keyword ('zoomeet') and suspicious TLD,High
dd-shopify.top,Shopify,Combo-squatting with 'shopify' keyword and suspicious .top TLD,High
deadapple.simplelogin.com,Apple,Combo-squatting with 'apple' keyword in subdomain,Medium
delawaredropbox.com,Dropbox,Combo-squatting with 'dropbox' keyword,High
devnull.facebook.com,Facebook,Legitimate Facebook subdomain (not a typosquat),Low
discn-prod.apple.com,Apple,Legitimate Apple subdomain (not a typosquat),Low
discountappledeals.com,Apple,Combo-squatting with 'apple' keyword,High
doanhnhanfacebook.com,Facebook,Combo-squatting with 'facebook' keyword,High
doclist.bounces.google.com,Google,Legitimate Google subdomain (not a typosquat),Low
docs.google.com,Google,Legitimate Google domain (not a typosquat),Low
dr-apple-shop.ru,Apple,Combo-squatting with 'apple' keyword and suspicious .ru TLD,High
dyson.apple.com,Apple,Legitimate Apple subdomain (not a typosquat),Low
e-mail-amazon.cf,Amazon,Combo-squatting with 'amazon' keyword and suspicious .cf TLD,High
e-n-facebook-com.cf,Facebook,Domain mimicking 'facebook.com' structure with suspicious .cf TLD,High
e-n-facebook-com.gq,Facebook,Domain mimicking 'facebook.com' structure with suspicious .gq TLD,High
e.appleid.com,Apple,Legitimate Apple subdomain (not a typosquat),Low
eiappleshoes.com,Apple,Combo-squatting with 'apple' keyword,Medium
emgh.zoomingabout.com,Zoom,Subdomain contains 'zoom' - potential combo-squatting,Medium
emwuzoom.com,Zoom,Domain contains 'zoom' with prefix - potential typosquatting/combo-squatting,Medium
enhancedzoom.com,Zoom,Combo-squatting with descriptive keyword 'enhanced',High
enpaypal.com,PayPal,Typosquatting with prefix 'en-',High
epuber.site,Uber,Contains 'uber' with prefix - potential typosquatting,Medium
f3sxu2uber.mailbo.store,Uber,Subdomain contains 'uber' - potential brand abuse,Medium
facebook-adult.com,Facebook,Combo-squatting with adult content keyword,High
facebook-egy.com,Facebook,Combo-squatting with geographic keyword,High
facebook-email.cf,Facebook,"Combo-squatting with 'email' keyword, suspicious TLD (.cf)",High
facebook-email.ga,Facebook,"Combo-squatting with 'email' keyword, suspicious TLD (.ga)",High
facebook-email.ml,Facebook,"Combo-squatting with 'email' keyword, suspicious TLD (.ml)",High
facebook-net.gq,Facebook,"Combo-squatting with 'net' keyword, suspicious TLD (.gq)",High
facebook-net.ml,Facebook,"Combo-squatting with 'net' keyword, suspicious TLD (.ml)",High
facebook199.xyz,Facebook,Typosquatting with numeric suffix,High
facebookblackhat.com,Facebook,Combo-squatting with malicious keyword 'blackhat',High
facebookcom.ru,Facebook,Typosquatting - 'facebookcom' with suspicious TLD (.ru),High
facebooklol.ga,Facebook,"Combo-squatting with 'lol', suspicious TLD (.ga)",High
facebookmail.com,Facebook,Combo-squatting with 'mail' keyword,High
facebookmail.gq,Facebook,"Combo-squatting with 'mail' keyword, suspicious TLD (.gq)",High
facebookmail.ml,Facebook,"Combo-squatting with 'mail' keyword, suspicious TLD (.ml)",High
facebookmail.usa.cc,Facebook,Combo-squatting with 'mail' keyword,High
facebooktoto.org,Facebook,Typosquatting with suffix 'toto',Medium
facebooky.shop,Facebook,Typosquatting with 'y' suffix,High
fastmeta.edu.pl,Meta,Combo-squatting with 'fast' prefix,Medium
fckgoogle.pl,Google,Brand abuse/typosquatting with profanity abbreviation,High
finance.zoomingabout.com,Zoom,Subdomain contains 'zoom' - potential brand abuse,Medium
firstmeta.com,Meta,Combo-squatting with 'first' prefix,Medium
fishslack.com,Slack,Combo-squatting with 'fish' prefix,Medium
fiu.edu.test-google-a.s-ly.me,Google,Subdomain contains 'google' with 'test' keyword - potential phishing,High
fonts.googleapis.com,Google,Legitimate Google domain (Google APIs),Low
friends-facebook.com,Facebook,Combo-squatting with 'friends' keyword,High
fullmetal.anonaddy.com,Meta,Subdomain contains 'metal' which could be confused with 'Meta',Low
gateway.qm.apple.com,Apple,Subdomain of legitimate apple.com domain,Low
gateway20.outlook.rest,Outlook,Subdomain potentially related to legitimate Outlook infrastructure,Low
gen.noxblocks.tk,Multiple,Uses .tk TLD which is commonly abused for phishing,Low
genuinemicrosoftkeyclub.com,Microsoft,Combo-squatting with 'genuine' and 'key' keywords suggesting unauthorized software key sales,High
getstuffedgoogle.com,Google,Combo-squatting incorporating 'google' in domain name,Medium
gg.gmail2444.tk,Gmail/Google,Typosquatting with 'gmail' variation and abusive .tk TLD,High
gggmail.pl,Gmail/Google,Typosquatting with repeated 'g' prefix on 'gmail',High
ggmail.biz.st,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmail.cloud,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmail.guru,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmail.lol,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmail.website,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmails.site,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggmails1.igg.biz,Gmail/Google,Typosquatting removing one 'a' from 'gmail',High
ggooglecn.com,Google,Typosquatting with doubled 'g' in 'google',High
ggvgmail.com,Gmail/Google,Typosquatting with character insertion in 'gmail',High
gigmail.store,Gmail/Google,Typosquatting with 'a' replaced by 'i' in 'gmail',High
gm-gmail.com,Gmail/Google,Combo-squatting with 'gm' prefix and hyphen,High
gmail-anjim.tk,Gmail/Google,Combo-squatting with 'gmail' and abusive .tk TLD,High
gmail-at.com,Gmail/Google,Combo-squatting with 'gmail' prefix,High
gmail-b.lol,Gmail/Google,Combo-squatting with 'gmail' prefix,High
gmail-box.com,Gmail/Google,Combo-squatting with 'gmail' and 'box' keyword,High
gmail-c.cc,Gmail/Google,Combo-squatting with 'gmail' prefix,High
gmail-es.com,Gmail/Google,Combo-squatting with 'gmail' and country code,High
gmail-fiji.gq,Gmail/Google,Combo-squatting with 'gmail' and abusive .gq TLD,High
gmail-temp.com,Gmail/Google,Combo-squatting with 'gmail' and 'temp' suggesting temporary email service,High
gmail.com.appleid.com,Gmail/Google and Apple,Highly suspicious domain combining gmail.com and appleid - likely phishing,High
gmail.com.co,Gmail/Google,TLD abuse mimicking gmail.com with .co extension,High
gmail.co.co.com,Gmail/Google,TLD abuse with multiple extensions mimicking gmail,High
gmail.com.co.com,Gmail/Google,TLD abuse with multiple extensions mimicking gmail.com,High
gmail.com.com,Gmail/Google,TLD abuse with doubled .com extension,High
gmail.com.facebook.com-youtube.com.facebookmail.com.gemuk.buzz,"Google (Gmail), Facebook",Combo-squatting combining gmail.com and facebook.com subdomains to impersonate multiple brands,High
gmail.com.gmail.cad.creou.dev,Google (Gmail),Subdomain abuse with repeated 'gmail' to impersonate Gmail login,High
gmail.com.gmail.com.jto.kr,Google (Gmail),Subdomain abuse with repeated 'gmail.com' to impersonate Gmail,High
gmail.com.gmail.com.lbe.kr,Google (Gmail),Subdomain abuse with repeated 'gmail.com' to impersonate Gmail,High
gmail.com.gmail.com.m.oazis.site,Google (Gmail),Subdomain abuse with repeated 'gmail.com' to impersonate Gmail mobile,High
gmail.com.gmail.gmail.cad.creou.dev,Google (Gmail),Subdomain abuse with triple 'gmail' repetition to impersonate Gmail,High
gmail.com.google.cume.temp.emvil.e.mail.ru.thumoi.com,Google (Gmail),Subdomain abuse combining gmail.com and google to impersonate Google services,High
gmail.com.matt-salesforce.com,"Google (Gmail), Salesforce",Combo-squatting combining gmail.com subdomain with Salesforce brand name,High
gmail.com.outlook.com.0.0.mail.mujur.id,"Google (Gmail), Microsoft (Outlook)",Subdomain abuse combining gmail.com and outlook.com to impersonate both email services,High
gmail.com.outlook.com.dbk6.0.mail.mujur.id,"Google (Gmail), Microsoft (Outlook)",Subdomain abuse combining gmail.com and outlook.com to impersonate both email services,High
gmail.comail.com,Google (Gmail),Typosquatting - missing dot between 'gmail' and 'com' creating 'comail',High
gmail.comicloud.com,"Google (Gmail), Apple (iCloud)",Typosquatting combining gmail.com with icloud to impersonate both services,High
gmail.commail.com,Google (Gmail),Typosquatting - missing dot creating 'commail',High
gmail.comprivaterelay.appleid.com,"Google (Gmail), Apple",Subdomain abuse combining gmail.com with Apple's Private Relay service,High
gmail.con,Google (Gmail),Typosquatting - 'con' instead of 'com' TLD,High
gmail.google.com.emy.kr,Google (Gmail),Subdomain abuse with gmail.google.com to impersonate Google services,High
gmailcsdnetflix.com,Google/Netflix,Combo-squatting combining 'gmail' (Google service) with 'netflix' - likely phishing attempt targeting both brands,High
gmailamz.vsmailpro.com,Google/Amazon,Combo-squatting combining 'gmail' with 'amz' (Amazon abbreviation),Medium
gmailgmail.com,Google,Repetition typosquatting of 'gmail' - likely targeting confused users,High
gmaildotcom.com,Google,Typosquatting attempting to mimic 'gmail.com' by spelling it out,High
gmailcomcom.com,Google,Typosquatting with repetition of 'com' - targets user confusion,High
gmailku.com,Google,Typosquatting of 'gmail' (Google service) with additional characters,High
gmailku.my.id,Google,Typosquatting of 'gmail' (Google service) with additional characters,High
gmaill.co,Google,Typosquatting of 'gmail' with double 'l',High
gmaill.co.com,Google,Typosquatting of 'gmail' with double 'l',High
gmaill.it,Google,Typosquatting of 'gmail' with double 'l',High
gmaill.my.id,Google,Typosquatting of 'gmail' with double 'l',High
gmaill.site,Google,Typosquatting of 'gmail' with double 'l',High
gmailldfdefk.com,Google,Typosquatting of 'gmail' with additional random characters,High
gmailldfdefk.net,Google,Typosquatting of 'gmail' with additional random characters,High
gmailler.cf,Google,Typosquatting of 'gmail' with TLD abuse (.cf),High
gmailler.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailler.ga,Google,Typosquatting of 'gmail' with TLD abuse (.ga),High
gmailler.gq,Google,Typosquatting of 'gmail' with TLD abuse (.gq),High
gmailler.tk,Google,Typosquatting of 'gmail' with TLD abuse (.tk),High
gmaillis.com,Google,Typosquatting of 'gmail' with additional characters,High
gmaillk.com,Google,Typosquatting of 'gmail' with double 'l' and additional character,High
gmailll.cf,Google,Typosquatting of 'gmail' with triple 'l' and TLD abuse (.cf),High
gmailll.ga,Google,Typosquatting of 'gmail' with triple 'l' and TLD abuse (.ga),High
gmailll.gq,Google,Typosquatting of 'gmail' with triple 'l' and TLD abuse (.gq),High
gmailll.org,Google,Typosquatting of 'gmail' with triple 'l',High
gmailll.tech,Google,Typosquatting of 'gmail' with triple 'l',High
gmailllli.com,Google,Typosquatting of 'gmail' with multiple 'l' characters,High
gmaillll.ga,Google,Typosquatting of 'gmail' with quadruple 'l' and TLD abuse (.ga),High
gmaillll.ml,Google,Typosquatting of 'gmail' with quadruple 'l' and TLD abuse (.ml),High
gmailllll.ga,Google,Typosquatting of 'gmail' with quintuple 'l' and TLD abuse (.ga),High
gmailloc.site,Google,Typosquatting of 'gmail' with additional characters,High
gmaills.eu,Google,Typosquatting of 'gmail' with double 'l' and 's',High
gmaillunge.site,Google,Typosquatting of 'gmail' with additional characters,High
gmailmail.emlpro.com,Google,Typosquatting of 'gmail' with redundant 'mail',High
gmailmail.ga,Google,Typosquatting of 'gmail' with redundant 'mail' and TLD abuse (.ga),High
gmailmail.ru,Google,Typosquatting of 'gmail' with redundant 'mail',High
gmailmarina.com,Google,Typosquatting of 'gmail' with additional word,High
gmailnator.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailner.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailnet.xyz,Google,Typosquatting of 'gmail' with 'net' suffix,High
gmailnew.com,Google,Typosquatting of 'gmail' with 'new' keyword,High
gmailni.0zw6yq.steakbeef.site,Google,Typosquatting of 'gmail' with additional characters,High
gmailni.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailni.p44iz.rr.nu,Google,Typosquatting of 'gmail' with additional characters,High
gmailnt.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailo.net,Google,Typosquatting of 'gmail' with character substitution,High
gmailo.site,Google,Typosquatting of 'gmail' with character substitution,High
gmailod.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailom.co,Google,Typosquatting of 'gmail' with additional characters,High
gmailos.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailot.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailpay.com,Google,Combo-squatting of 'gmail' with payment keyword 'pay',High
gmailpop.ml,Google,Typosquatting of 'gmail' with TLD abuse (.ml),High
gmailpopnew.com,Google,Typosquatting of 'gmail' with additional keywords,High
gmailpost.com,Google,Typosquatting of 'gmail' with additional word,High
gmailppwld.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailppwld.net,Google,Typosquatting of 'gmail' with additional characters,High
gmailpremium.com.br,Google,Typosquatting of 'gmail' with 'premium' keyword,High
gmailpro.cf,Google,Typosquatting of 'gmail' with 'pro' keyword and TLD abuse (.cf),High
gmailpro.gq,Google,Typosquatting of 'gmail' with 'pro' keyword and TLD abuse (.gq),High
gmailpro.ml,Google,Typosquatting of 'gmail' with 'pro' keyword and TLD abuse (.ml),High
gmailpro.tk,Google,Typosquatting of 'gmail' with 'pro' keyword and TLD abuse (.tk),High
gmails.co.com,Google,Typosquatting of 'gmail' with plural 's',High
gmails.fun,Google,Typosquatting of 'gmail' with plural 's',High
gmails.ru.com,Google,Typosquatting of 'gmail' with plural 's',High
gmails.top,Google,Typosquatting of 'gmail' with plural 's',High
gmailsdfd.com,Google,Typosquatting of 'gmail' with random characters,High
gmailsdfd.net,Google,Typosquatting of 'gmail' with random characters,High
gmailsdfsd.com,Google,Typosquatting of 'gmail' with random characters,High
gmailsdfsd.net,Google,Typosquatting of 'gmail' with random characters,High
gmailsdfskdf.com,Google,Typosquatting of 'gmail' with random characters,High
gmailsdfskdf.net,Google,Typosquatting of 'gmail' with random characters,High
gmailserver.org,Google,Typosquatting of 'gmail' with 'server' keyword,High
gmailskm.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailsl.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailss.eml.monster,Google,Typosquatting of 'gmail' with double 's',High
gmailssdf.com,Google,Typosquatting of 'gmail' with random characters,High
gmailsucks.usa.cc,Google,Typosquatting of 'gmail' with negative keyword,High
gmailtemp.com,Google,Typosquatting of 'gmail' with 'temp' keyword,High
gmailtop.com,Google,Typosquatting of 'gmail' with 'top' keyword,High
gmailtube.net,Google,Typosquatting of 'gmail' with 'tube' keyword,High
gmailu.ru,Google,Typosquatting of 'gmail' with character substitution,High
gmailup.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailus.top,Google,Typosquatting of 'gmail' with additional characters,High
gmailv.top,Google,Typosquatting of 'gmail' with additional character,High
gmailvn.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailvn.net,Google,Typosquatting of 'gmail' with additional characters,High
gmailvn.work,Google,Typosquatting of 'gmail' with additional characters,High
gmailvn.xyz,Google,Typosquatting of 'gmail' with additional characters,High
gmailwe.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailweerr.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailweerr.net,Google,Typosquatting of 'gmail' with additional characters,High
gmailx.xyz,Google,Typosquatting of 'gmail' with additional character,High
gmaily.tk,Google,Typosquatting of 'gmail' with character substitution and TLD abuse (.tk),High
gmailya.com,Google,Typosquatting of 'gmail' with additional characters,High
gmailya.kmvt.rr.nu,Google,Typosquatting of 'gmail' with additional characters,High
gmailzdfsdfds.com,Google,Typosquatting of 'gmail' with random characters,High
gmailzdfsdfds.net,Google,Typosquatting of 'gmail' with random characters,High
gmflsodlgmail.com,Google,Typosquatting of 'gmail' with random prefix characters,High
go.facebookmail.com,Facebook,Typosquatting of 'facebook' with 'mail' suffix,High
gogogmail.com,Google,Typosquatting of 'gmail' with 'go' prefix,High
gogooglee.com,Google,Typosquatting of 'google' with extra 'e',High
gogoogleitnow.com,Google,Typosquatting of 'google' with additional phrase,High
appie.com,Apple,Edit distance 1 from 'Apple' (likely typo),High
blank.com,Slack,Edit distance 2 from 'Slack' (likely typo),High
chise.com,Chase,Edit distance 1 from 'Chase' (likely typo),High
mta.com,Meta,Edit distance 1 from 'Meta' (likely typo),High
4cities.com,Citi,Brand name 'Citi' found as substring (combo-squatting),High
abcofthetriplecities.com,Citi,Brand name 'Citi' found as substring (combo-squatting),High
acerosmetal.nl,Meta,Brand name 'Meta' found as substring (combo-squatting),High
acgmetals.com,Meta,Brand name 'Meta' found as substring (combo-squatting),High
ahmetamanvermez.com,Meta,Brand name 'Meta' found as substring (combo-squatting),High
alreadypurchase.com,Chase,Brand name 'Chase' found as substring (combo-squatting),High
alxcitizen.com,Citi,Brand name 'Citi' found as substring (combo-squatting),High
amazingbenefitsofapplecidervinegar.com,Apple,Brand name 'Apple' found as substring (combo-squatting),High
amazonenseapps.online,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
amazoniacl.com,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
amazonianseller.com,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
amazonjobs.aleeas.com,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
amazonomat.com,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
amazonwilderness.com,Amazon,Brand name 'Amazon' found as substring (combo-squatting),High
apple.edu.pl,Apple,Brand name 'Apple' found as substring (combo-squatting),High
applebeta.cn,Apple,Brand name 'Apple' found as substring (combo-squatting),High
